accession,Species,Strain,Shape,Endospores,OxygenReq,OptimumTemperature,TemperatureRange,Description
PRJDB11520,Stygiolobus caldivivus,KN-1,eCocci,,eFacultative,75,eThermophilic,"To determine complete genome sequence of strain KN-1, genome sequencing was conducted with Illumina and Nanopore sequencers."
PRJDB8303,Methanoculleus chikugoensis,MG62,eCocci,eNo,eAnaerobic,25-30,eMesophilic,"Whole-genome sequencing was conducted for a methanogenic archaeon, Methanoculleus chikugoensis MG62 (type strain of the species), isolated from paddy field soil."
PRJDB8301,Methanobrevibacter arboriphilus,SA,eBacilli,eNo,eAnaerobic,35-40,eMesophilic,"Whole-genome sequencing of a methanogenic archaeal isolate, Methanobrevibacter arboriphilus strain SA, from paddy field soil was conducted."
PRJDB8302,Methanosarcina mazei,TMA,,eNo,eAnaerobic,30-37,eMesophilic,"Whole-genome sequencing was conducted for a methanogenic archaeon, Methanosarcina mazei TMA, isolated from paddy field soil."
PRJNA710564,Methanobacterium oryzae,DSM 11106,,,,,,Genome sequencing as part of The One Thousand Microbial Genomes Phase 4 (KMG IV) project
PRJNA710563,Methanoculleus hydrogenitrophicus,DSM 25996,,,,,,Genome sequencing as part of The One Thousand Microbial Genomes Phase 4 (KMG IV) project
PRJNA710557,Halarchaeum salinum,DSM 27207,,,,,,Genome sequencing as part of The One Thousand Microbial Genomes Phase 4 (KMG IV) project
PRJNA683739,Nitrosopumilus sp. K4,K4,,,,,,Draft genome of Nitrosopumilus sp. K4
PRJNA668939,Thermosphaera aggregans,3507,,,,,,Project aims to characterize genomic determinants of phenotypic properties and to conduct genome-based phylogenetic analysis of novel crenarchaeon Thermosphaera sp. 3507
PRJNA632317,Methanothermobacter thermautotrophicus,DSM 3267,,,,,,Genome sequencing as part of The One Thousand Microbial Genomes Phase 4 (KMG IV) project
PRJNA603674,Pyrococcus furiosus,MURPf52,,,,,,"In several archaea, the Cu-transporting ATPase and the copper chaperone are arranged in a conserved copper resistance gene cluster (cop), which also contains an additional gene, encoding for a DNA-binding transcriptional regulator. In previous studies, pf0739 has been proposed to be the copper-dependent regulator CopR in P. furiosus.</p><p>Here, we have characterised the metal-sensing transcriptional regulator CopR by describing the influence of different metal ions on the DNA-binding of wild-type and domain-depleted pf0739 mutants. To learn about the CopR-regulated gene network in P. furiosus, we performed differential gene expression analysis (DGE) and chromatin immunoprecipitation in combination with high-throughput sequencing (ChIP-seq) under normal and 20 microM copper-shock conditions. By integrating the transcriptome and genome-wide binding data, we found that CopR binds to the upstream regions of many copper-induced genes. Activation of the exporting ATPase (PF0740) was confirmed using in vitro transcription assays and DNase I footprinting. Negative-stain transmission electron microscopy and image analysis by 2D class averaging revealed an octameric assembly formed from a tetramer of dimers similar to the published crystal structures from LrpA from P. furiosus and FFRP, an orthologue of Pyrococcus sp. OT3."
PRJNA564928,Methanoplanus sp. FWC-SCC4,FWC-SCC4,,,,,,The complete genome of Methanoplanus sp. FWC-SCC4
PRJDB6271,Haladaptatus sp. T7,T7,eCocci,,eAerobic,40,eMesophilic,We isolated a hyperhalophilic archaea genome that degrade PHB. So far there is no reports on archaea that degrade PHB in spite of that bacteria and fungi that degrade it have been reported.The genome was analyzed by NGS.
PRJNA562804,Methanothermobacter sp. THM-2,THM-2,,,,,,"Methanothermobacter sp. THM-2 chromosome, complete sequence"
PRJNA562797,Methanothermobacter sp. THM-1,THM-1,,,,,,"Methanothermobacter sp. THM-1 chromosome, complete genome"
PRJNA560152,Methanothermobacter sp. KEPCO-1,KEPCO1,,,,,,"Methanothermobacter sp. KEPCO1 chromosome, complete genome"
PRJNA559048,Methanocalculus taiwanensis,P2F9704a,,,,,,Investigation of the diversity of methanogens in Taiwan
PRJNA545184,Methanobacterium sp. CWC-01,CWC-01,,,,,,Complete genome of Methanobacterium sp. CWC-01
PRJDB6667,Methanothermobacter sp. CaT2,,,,,,,Genome sequencing of aggregation defective mutants of Methanothermobacter sp. CaT2 was performed by using Illumina reads. The extracted DNA was sequenced using a Illumina Hiseq 2500 System. Mutation sites of aggregation defective mutants of CaT2 were identified using genome mapping analysis.
PRJNA527005,Methanofollis formosanus,ML15,,,,,,Whole genome shotgun sequencing of Methanofollis formosanus ML15
PRJNA513349,Halorubrum ezzemoulense,Fb21,,,,,,"First whole genome sequence of Halorubrum ezzemoulense strain Fb21, cultivated from hypersaline Aran-Bidgol, Iran."
PRJNA510257,Halorubrum sp. BOL3-1,BOL3-1,,,,,,Haloarchaeal diversity.
PRJDB6753,Sulfodiicoccus acidiphilus,HS-1,,,,,,"Complete genome of Sulfodiicoccus acidiphilus strain HS-1(T), the type species of the genus Sulfodiicoccus, was determined using PacBio RSII sequencer. Annotation was performed by automatically using RAST (Rapid Annotation using Subsystem Technology) server."
PRJNA471916,Methanosarcina mazei,JL01,,,,,,Methanosarcina mazei strain JL01. The strain was isolated from Arctic permafrost.
PRJDB5636,Thermoplasma acidophilum DSM 1728,,,,,,,"Most archaea have only XerA, a homologue of the bacterial XerC/D proteins, but no homologues of FtsK. In addition, the molecular mechanism of XerA-mediated chromosome resolution in archaea has been less thoroughly elucidated than those of the corresponding bacterial systems. In this study, we try to identify XerA-binding sites in the Thermoplasma acidophilum chromosome."
PRJNA377840,Halorubrum sp. B53,B53,,,,,,Whole genome sequencing of haloarchaea Halorubrum sp. B53
PRJNA377838,Halorubrum sp. B52,B52,,,,,,Whole Genome Shotgun Sequencing of haloarchaea Halorubrum sp. B52
PRJNA370006,Methanohalophilus euhalobius,WG-1MB,,,,,,Genome sequencing to study microbial metabolism in carbon rich deep shale environments
PRJNA368468,Natronoarchaeum philippinense,DSM 27208,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA368361,Halorubrum ezzemoulense,DSM 19316,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA364307,Methanohalophilus portucalensis FDF-1,FDF-1,,,,,,Genome sequencing to study microbial metabolism in carbon rich deep shale environments
PRJNA363545,Halorubrum vacuolatum,DSM 8800,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA363525,Halorubrum cibi,DSM 19504,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA363520,Halobellus salinus,DSM 18730,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA346830,Saccharolobus solfataricus,98/2 W3,,,,,,Mutagenic events required for extreme acidophily
PRJNA342410,Methanohalophilus halophilus,Z-7982,,,,,,The goal was to obtain the complete genome of the strain Methanohalophilus halophilus strain Z-7982 in order to compare with others Methanohalophilus isoaltes from deep sea.
PRJNA335225,Halohasta litchfieldiae,DSM 22187,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA335198,Haladaptatus paucihalophilus DX253,DX253,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA335197,Halobaculum gomorrense,DSM 9297,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA335184,Natronobacterium gregoryi SP2,SP2,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA332818,Halorubrum lacusprofundi,UNSW DL26-2,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332817,Halorubrum lacusprofundi,UNSW DL26-1,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332816,Halorubrum lacusprofundi,UNSW DL24,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332815,Halorubrum lacusprofundi,UNSW DL23,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332814,Halorubrum lacusprofundi,UNSW DL20,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332813,Halorubrum lacusprofundi,UNSW DL19,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332812,Halorubrum lacusprofundi,UNSW DL18,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332811,Halorubrum lacusprofundi,UNSW DL13,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332809,Halorubrum lacusprofundi,UNSW DL11,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332808,Halorubrum lacusprofundi,MDS DL28,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332807,Halorubrum lacusprofundi,MDS DL18,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332806,Halorubrum lacusprofundi,MDS DL12,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332805,Halorubrum lacusprofundi,DLTAC2,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332804,Halorubrum lacusprofundi,DLSEC9,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332803,Halorubrum lacusprofundi,DLSEC8,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332802,Halorubrum lacusprofundi,DLSEC7,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332801,Halorubrum lacusprofundi,DLSEC6,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332799,Halorubrum lacusprofundi,DLSEC3,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332798,Halorubrum lacusprofundi,DLSEC2,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332797,Halorubrum lacusprofundi,DLSEC10,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA332796,Halorubrum lacusprofundi,DLSEC1,,,,,,"Seasonal variation in Antarctic microbial communities: ecology, stability and susceptibility to ecosystem change"
PRJNA331486,Haloarcula vallismortis,DSM 3756,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA331410,Halobiforma haloterrestris,DSM 13078,,,,,,"Sequencing as part of the Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II project"
PRJNA330446,Natronorubrum daqingense,CGMCC 1.8909,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA329901,Haladaptatus litoreus,CGMCC 1.7737,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA329725,Natronorubrum thiooxidans,HArc-T,,,,,,Genome sequencing of 100 strains of the haloalkaliphilic chemolithoautotrophic sulfur-oxidizing bacterium Thioalkalivibrio
PRJNA323269,Halopenitus malekzadehii,IBRC-M10418,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA323268,Halopenitus persicus,"DC30,IBRC 10041,KCTC 4046",,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA323263,Haloarchaeobius iranensis,"EB21,IBRC-M 10013,KCTC 4048",,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA323224,Natrinema hispanicum,CDM_1,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA323218,Thermococcus thioreducens,OGL-20,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA323110,Natrinema salifodinae,CGMCC 1.12284,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA323109,Halopelagius longus,CGMCC 1.12397,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA323108,Halomicrobium zhouii,CGMCC 1.10457,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA323107,Halolamina pelagica,CGMCC 1.10329,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA323054,Halovenus aranensis,IBRC-M10015,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA323052,Halorientalis regularis,IBRC-M 10760,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA322963,Methanobrevibacter gottschalkii,DSM 11978,,,,,,The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.
PRJNA322942,Halorientalis persicus,IBRC-M 10043,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA311474,Natronorubrum texcoconense,"b4,cect 8067,jcm 17497",,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA311424,Methanohalophilus halophilus,z-7982,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA303884,Halobellus limi,cgmcc 1.10331,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303811,Methanococcoides vulcani,slh 33,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA303802,Natrinema salaciae,dsm 25055,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA303801,Natronobacterium texcoconense,dsm 24767,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA303706,Halostagnicola kamekurae,dsm 22427,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA303693,Methanoculleus thermophilus dsm 2373,dsm 2373,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA303679,Methanolobus vulcani,pl 12/m,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA303660,Haloferax larsenii,cdm_5,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA303657,Natrinema hispanicum,cdm_6,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA303655,Methanolobus profundi,mob m,,,,,,Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs
PRJNA303602,Halogeometricum limi,cgmcc 1.8711,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303545,Natronorubrum sediminis,cgmcc 1.8981,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303474,Halogranum rubrum,cgmcc 1.7738,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303464,Halopelagius inordinatus,cgmcc 1.7739,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303462,Haloplanus vescus,cgmcc 1.8712,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303461,Halorubrum aquaticum,cgmcc 1.6377,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303460,Halorubrum xinjiangense,cgmcc 1.3527,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303426,Halobacterium jilantaiense,cgmcc 1.5337,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303425,Halobellus clavatus,cgmcc 1.10118,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303424,Halogeometricum rufum,cgmcc 1.7736,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303423,Halogranum amylolyticum,cgmcc 1.10121,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303422,Halogranum gelatinilyticum,cgmcc 1.10119,,,,,,"Genomic Encyclopedia of Type Strains, Phase III the genomes of soil and plant-associated and newly described type strains"
PRJNA303354,Halorubrum sodomense,rd 26,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA298090,Halobacterium salinarum r1,r1,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA297919,Halobacterium salinarum,dsm 670,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJNA297909,Halobacterium salinarum,dsm 668,,,,,,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II: from individual species to whole genera"
PRJDB4031,Halorubrum sp. BS19,,eCocci,eNo,eAerobic,37,eMesophilic,"Halorubrum sp., BS19 was isolated from Ribandar solar saltern of Goa, India. The annotated draft genome sequence of Halorubrum sp., BS19, contained 3234604 bp with a G + C content of 64.54% arranged in a single chromosome and five plasmids. A total of 3093 genes were annotated and among them 797 were involved in energy metabolism, of which 112 were involved in carbohydrate metabolism."
PRJNA269558,Methanofollis aquaemaris,N2F9704,,,,,,Analyze the novlaties of N2F9704 isolated from an aquaculture fish pond
PRJNA259096,Metallosphaera sedula,DSM 5348 ARS60-3 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259095,Metallosphaera sedula,DSM 5348 Clso isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259091,Metallosphaera sedula,DSM 5348 ARS60-2 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259077,Saccharolobus solfataricus,98/2 U3,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA259074,Metallosphaera sedula,DSM 5348 ARS50-1 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259073,Metallosphaera sedula,DSM 5348 ARS50-2 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259072,Metallosphaera sedula,DSM 5348 ARS60-1 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259071,Metallosphaera sedula,DSM 5348 ARS120-1 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259070,Metallosphaera sedula,DSM 5348 ARS120-2 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259069,Metallosphaera sedula,DSM 5348 ARS120-3 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259068,Metallosphaera sedula,DSM 5348 ARS100-1 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259067,Metallosphaera sedula,DSM 5348 ARS100-2 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259066,Metallosphaera sedula,DSM 5348 ARS100-3 isolate,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259065,Metallosphaera sedula,DSM 5348 ARE30 population,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259064,Metallosphaera sedula,DSM 5348 ARE60 population,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259063,Metallosphaera sedula,DSM 5348 ARE90 population,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259062,Metallosphaera sedula,DSM 5348 ARE100 population,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259061,Metallosphaera sedula,DSM 5348 ARE100-1 population,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA259060,Metallosphaera sedula,DSM 5348 ARE120 population,,,,,,<p>Consolidated Bioprocessing Platform for Metals Recovery</p>
PRJNA254876,Methanobrevibacter olleyae,DSM 16632,,,,,,<p>The Hungate 1000. A catalogue of reference genomes from the rumen microbiome. JGI Project ID: 1034385.</p>
PRJNA254858,Methanobrevibacter millerae,DSM 16643,,,,,,<p>The Hungate 1000. A catalogue of reference genomes from the rumen microbiome. JGI Project ID: 1034382.</p>
PRJNA254857,Methanosarcina sp. DSM 11855,DSM 11855,,,,,,<p>The Hungate 1000. A catalogue of reference genomes from the rumen microbiome. JGI Project ID: 1034379.</p>
PRJNA250833,Saccharolobus solfataricus,98/2 W2,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250832,Saccharolobus solfataricus,98/2 W1,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250827,Saccharolobus solfataricus,98/2 L3,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250826,Saccharolobus solfataricus,98/2 U1,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250825,Saccharolobus solfataricus,98/2 U2,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250820,Saccharolobus solfataricus,98/2 L1,,,,,,<p>Mutagenic events required for extreme acidophily</p>
PRJNA250819,Saccharolobus solfataricus,98/2 L2,,,,,,<p>Mutagenic events required for extreme acidophily</p>
